Guadeloupe,1780,15.42,6.06,0,3513000000,8.60,0,20000,125900,77.9
Guam,549,19.03,4.41,0,3200000000,6.94,0,50000,60000,78.4
Guernsey,78,9.01,9.95,0,2590000000,4.71,0,0,32290,80.3
Japan,377835,9.47,8.95,0,3745000000000,3.26,12962065,57200000,66970000,81.15
Jersey,116,9.66,9.19,0,3600000000,5.24,0,0,52790,79.24
Luxembourg,2586,12.06,8.41,0,27270000000,4.81,28214,165000,293700,78.74
Man Isle of,572,11.18,11.26,0,2113000000,5.93,0,0,39690,78.34
Mayotte,374,41.58,7.90,0,466800000,62.40,0,0,48800,61.39
Netherlands,41526,11.14,8.68,0,481100000000,5.04,4518226,8500000,7530000,78.81
Northern Mariana Islands,477,19.51,2.30,0,900000000,7.11,0,0,6006,75.88
Puerto Rico,9104,13.93,7.86,0,68950000000,8.24,0,600000,1300000,77.62
Reunion,2517,19.26,5.48,0,4570000000,7.78,0,150000,309900,73.95
Saint Helena,410,12.33,6.43,0,18000000,19.00,0,500,3500,77.76
Saint Pierre and Miquelon,242,13.83,6.70,0,48300000,7.54,0,0,3261,78.46
San Marino,61,10.18,8.07,0,940000000,5.73,1763,14300,18500,81.62
South Georgia and the South Sandwich Islands,3903,0.00,0.00,0,251900000000,0.00,0,0,0,0.00
Svalbard,62049,0.00,0.00,0,216000000,0.00,0,0,0,0.00
Switzerland,41290,9.77,8.48,0,12200000,4.39,667275,2556000,3770000,80.39
Tromelin Island,1,0.00,0.00,0,2500000000,0.00,0,0,0,0.00
Turks and Caicos Islands,430,22.23,4.28,0,0,15.67,0,0,4848,74.51
Tuvalu,26,21.91,7.22,0,60000000,20.03,0,1300,7000,68.01
Virgin Islands,352,14.20,6.26,0,0,8.03,0,30000,48900,78.91
Wake Island,7,0.00,0.00,0,0,0.00,0,0,0,0.00
Wallis and Futuna,274,0.00,0.00,0,0,0.00,0,900,0,0.00
Western Sahara,266000,0.00,0.00,0,0,0.00,0,0,12000,0.00
